EXHIBIT E  ·  SCHEDULE OF VALUES  ·  ELECTRICAL SUBCONTRACT  ·  NORTHGATE ELECTRIC,,,,,,,,,
"Sample Solar  ·  Example County, VA",,,,,,,,,
"Subcontractor:  Northgate Electric, LLC                    Scope:  Electrical",,,,,,,,,
,TOTAL SUBCONTRACT VALUE  →,,,,"$614,191.07",,,,
Scheduled values are the executed bid; the agreed % is derived from those values.,,,,,,,,,
,,,,,,,,,
Item No.,Description of Work,Unit,Quantity,Agreed % of Subcontract,Scheduled Value,Start,Finish,% Complete (This App),Amount Earned
1.00   GENERAL CONDITIONS,,,,,,,,,
1.01,Payment and Performance Bond,LS,,2.22%,"$13,652.60",10/16/26,10/16/26,,-
1.02,Signage (temporary and permanent),LS,,0.57%,"$3,504.32",10/16/26,12/13/26,,-
1.03,Construction water,LS,,0.21%,"$1,274.30",10/16/26,12/13/26,,-
1.04,Site management,LS,,6.83%,"$41,960.15",10/16/26,12/13/26,,-
1.05,Site safety,LS,,3.90%,"$23,941.55",10/16/26,12/13/26,,-
1.06,Mobilization and demobilization,LS,,2.07%,"$12,743.00",10/16/26,12/13/26,,-
1.07,Trash,LS,,0.10%,$637.15,10/16/26,12/13/26,,-
1.08,Traffic control,LS,,0.31%,"$1,911.45",10/16/26,12/13/26,,-
2.00   ELECTRICAL INSTALLATION,,,,,,,,,
2.01,Trenching and/or boring,LS,,8.38%,"$51,440.94",10/22/26,10/27/26,,-
2.02,DC string wiring,LS,,22.00%,"$135,129.60",10/16/26,10/29/26,,-
2.03,AC low voltage,LS,,17.60%,"$108,069.25",10/30/26,11/09/26,,-
2.04,▶  Medium voltage,LS,,13.91%,"$85,408.14",11/10/26,11/13/26,,-
2.05,Communications,LS,,6.40%,"$39,293.04",11/01/26,11/15/26,,-
2.06,SCADA equipment install,LS,,4.60%,"$28,235.63",11/01/26,11/24/26,,-
2.07,3rd party commissioning,LS,,2.13%,"$13,112.55",11/20/26,11/30/26,,-
3.00   TEST REPORTS,,,,,,,,,
3.01,▶  VLF Tan Delta test (MV cables),LS,,0.41%,"$2,548.60",11/10/26,11/10/26,,-
3.02,DC system test reports,LS,,1.00%,"$6,116.64",10/30/26,11/02/26,,-
3.03,DC megger test reports,LS,,1.00%,"$6,116.64",10/30/26,11/02/26,,-
3.04,Fiber test reports,LS,,0.52%,"$3,185.75",11/24/26,11/25/26,,-
3.05,Electrical trench compaction test,LS,,1.14%,"$7,008.65",10/22/26,10/27/26,,-
3.06,▶  MV transformer field test,LS,,0.41%,"$2,548.60",11/16/26,11/17/26,,-
3.07,Array transformer factory test,LS,,0.31%,"$1,911.45",11/16/26,11/16/26,,-
3.08,Inverter cold commissioning checklist,LS,,0.17%,"$1,019.44",11/20/26,11/20/26,,-
3.09,DC disconnect field test,LS,,0.50%,"$3,058.32",10/30/26,11/02/26,,-
4.00   COMPLETION TEST REPORTS,,,,,,,,,
4.01,Relay setting test,LS,,0.23%,"$1,401.73",11/16/26,11/16/26,,-
4.02,Fall of potential / grounding continuity,LS,,0.27%,"$1,656.59",11/12/26,11/12/26,,-
4.03,CT and PT test reports,LS,,0.46%,"$2,803.46",11/20/26,11/20/26,,-
4.04,Circuit breaker field test,LS,,0.12%,$764.58,11/16/26,11/16/26,,-
4.05,Circuit breaker factory test,LS,,0.12%,$764.58,11/16/26,11/16/26,,-
4.06,Recloser field test,LS,,0.52%,"$3,185.75",11/16/26,11/16/26,,-
4.07,Current switcher field test,LS,,0.44%,"$2,676.03",11/16/26,11/16/26,,-
4.08,Meter field test,LS,,0.37%,"$2,293.74",11/23/26,11/23/26,,-
4.09,Phase rotation test,LS,,0.12%,$739.09,11/24/26,11/24/26,,-
4.10,String test reports,LS,,0.66%,"$4,077.76",11/12/26,11/16/26,,-
,TOTAL SUBCONTRACT,,,100.00%,"$614,191.07",10/16/26,12/13/26,,-
,Less: Retainage (10%),,,,,,,,-
,Net Payable This Application,,,,,,,,-
