EXHIBIT E  ·  SCHEDULE OF VALUES  ·  ELECTRICAL SUBCONTRACT  ·  LUMINA ENERGY SERVICES,,,,,,,,,
"Sweet Spring Solar  ·  Orange County, VA",,,,,,,,,
"Subcontractor:  Lumina Energy Services, LLC                    Scope:  Electrical",,,,,,,,,
,TOTAL SUBCONTRACT VALUE  →,,,,"$481,983.11",,,,
"Scheduled values are the executed bid; the agreed % is derived from those values.",,,,,,,,,
,,,,,,,,,
Item No.,Description of Work,Unit,Quantity,Agreed % of Subcontract,Scheduled Value,Start,Finish,% Complete (This App),Amount Earned
1.00   GENERAL CONDITIONS,,,,,,,,,
1.01,Payment and Performance Bond,LS,,2.22%,"$10,713.80",10/16/26,10/16/26,,-
1.02,Signage (temporary and permanent),LS,,0.57%,"$2,750.00",10/16/26,12/13/26,,-
1.03,Construction water,LS,,0.21%,"$1,000.00",10/16/26,12/13/26,,-
1.04,Site management,LS,,6.83%,"$32,928.00",10/16/26,12/13/26,,-
1.05,Site safety,LS,,3.90%,"$18,788.00",10/16/26,12/13/26,,-
1.06,Mobilization and demobilization,LS,,2.07%,"$10,000.00",10/16/26,12/13/26,,-
1.07,Trash,LS,,0.10%,$500.00,10/16/26,12/13/26,,-
1.08,Traffic control,LS,,0.31%,"$1,500.00",10/16/26,12/13/26,,-
2.00   ELECTRICAL INSTALLATION,,,,,,,,,
2.01,Trenching and/or boring,LS,,8.38%,"$40,368.00",10/22/26,10/27/26,,-
2.02,DC string wiring,LS,,22.00%,"$106,042.22",10/16/26,10/29/26,,-
2.03,AC low voltage,LS,,17.60%,"$84,806.76",10/30/26,11/09/26,,-
2.04,▶  Medium voltage,LS,,13.91%,"$67,023.57",11/10/26,11/13/26,,-
2.05,Communications,LS,,6.40%,"$30,835.00",11/01/26,11/15/26,,-
2.06,SCADA equipment install,LS,,4.60%,"$22,157.76",11/01/26,11/24/26,,-
2.07,3rd party commissioning,LS,,2.13%,"$10,290.00",11/20/26,11/30/26,,-
3.00   TEST REPORTS,,,,,,,,,
3.01,▶  VLF Tan Delta test (MV cables),LS,,0.41%,"$2,000.00",11/10/26,11/10/26,,-
3.02,DC system test reports,LS,,1.00%,"$4,800.00",10/30/26,11/02/26,,-
3.03,DC megger test reports,LS,,1.00%,"$4,800.00",10/30/26,11/02/26,,-
3.04,Fiber test reports,LS,,0.52%,"$2,500.00",11/24/26,11/25/26,,-
3.05,Electrical trench compaction test,LS,,1.14%,"$5,500.00",10/22/26,10/27/26,,-
3.06,▶  MV transformer field test,LS,,0.41%,"$2,000.00",11/16/26,11/17/26,,-
3.07,Array transformer factory test,LS,,0.31%,"$1,500.00",11/16/26,11/16/26,,-
3.08,Inverter cold commissioning checklist,LS,,0.17%,$800.00,11/20/26,11/20/26,,-
3.09,DC disconnect field test,LS,,0.50%,"$2,400.00",10/30/26,11/02/26,,-
4.00   COMPLETION TEST REPORTS,,,,,,,,,
4.01,Relay setting test,LS,,0.23%,"$1,100.00",11/16/26,11/16/26,,-
4.02,Fall of potential / grounding continuity,LS,,0.27%,"$1,300.00",11/12/26,11/12/26,,-
4.03,CT and PT test reports,LS,,0.46%,"$2,200.00",11/20/26,11/20/26,,-
4.04,Circuit breaker field test,LS,,0.12%,$600.00,11/16/26,11/16/26,,-
4.05,Circuit breaker factory test,LS,,0.12%,$600.00,11/16/26,11/16/26,,-
4.06,Recloser field test,LS,,0.52%,"$2,500.00",11/16/26,11/16/26,,-
4.07,Current switcher field test,LS,,0.44%,"$2,100.00",11/16/26,11/16/26,,-
4.08,Meter field test,LS,,0.37%,"$1,800.00",11/23/26,11/23/26,,-
4.09,Phase rotation test,LS,,0.12%,$580.00,11/24/26,11/24/26,,-
4.10,String test reports,LS,,0.66%,"$3,200.00",11/12/26,11/16/26,,-
,TOTAL SUBCONTRACT,,,100.00%,"$481,983.11",10/16/26,12/13/26,,-
,Less: Retainage (10%),,,,,,,,-
,Net Payable This Application,,,,,,,,-
